'x',"gameId","playId","nflId","frameId","time","jerseyNumber","team","playDirection","x","y","s","a","dis","o","dir","event"
635996,2021091207,2244,35472.0,1,2021-09-12T18:38:57.900,76.0,TEN,left,39.47,22.15,0.02,0.25,0.0,235.4,310.21,None
635997,2021091207,2244,35472.0,2,2021-09-12T18:38:58.000,76.0,TEN,left,39.47,22.15,0.02,0.22,0.0,236.85,12.05,None
635998,2021091207,2244,35472.0,3,2021-09-12T18:38:58.100,76.0,TEN,left,39.48,22.15,0.07,0.32,0.01,239.45,98.89,None
635999,2021091207,2244,35472.0,4,2021-09-12T18:38:58.200,76.0,TEN,left,39.49,22.14,0.17,0.5,0.02,239.45,115.63,None
636000,2021091207,2244,35472.0,5,2021-09-12T18:38:58.300,76.0,TEN,left,39.52,22.12,0.32,0.72,0.03,238.32,124.27,None
636001,2021091207,2244,35472.0,6,2021-09-12T18:38:58.400,76.0,TEN,left,39.56,22.09,0.48,0.82,0.05,236.77,124.91,ball_snap
636002,2021091207,2244,35472.0,7,2021-09-12T18:38:58.500,76.0,TEN,left,39.61,22.06,0.64,0.81,0.06,235.57,125.55,None
636003,2021091207,2244,35472.0,8,2021-09-12T18:38:58.600,76.0,TEN,left,39.68,22.02,0.8,0.89,0.08,235.57,123.77,None
636004,2021091207,2244,35472.0,9,2021-09-12T18:38:58.700,76.0,TEN,left,39.75,21.97,0.91,0.77,0.09,235.57,124.13,None
636005,2021091207,2244,35472.0,10,2021-09-12T18:38:58.800,76.0,TEN,left,39.84,21.91,1.03,0.56,0.1,234.89,124.0,None
636006,2021091207,2244,35472.0,11,2021-09-12T18:38:58.900,76.0,TEN,left,39.95,21.85,1.21,0.54,0.13,238.9,119.78,None
636007,2021091207,2244,35472.0,12,2021-09-12T18:38:59.000,76.0,TEN,left,40.07,21.79,1.32,0.46,0.13,237.8,116.82,None
636008,2021091207,2244,35472.0,13,2021-09-12T18:38:59.100,76.0,TEN,left,40.21,21.73,1.47,0.5,0.16,236.4,113.25,None
636009,2021091207,2244,35472.0,14,2021-09-12T18:38:59.200,76.0,TEN,left,40.39,21.69,1.63,0.66,0.17,239.42,106.48,None
636010,2021091207,2244,35472.0,15,2021-09-12T18:38:59.300,76.0,TEN,left,40.57,21.66,1.77,0.8,0.19,243.82,101.6,None
636011,2021091207,2244,35472.0,16,2021-09-12T18:38:59.400,76.0,TEN,left,40.76,21.63,1.87,0.82,0.19,250.71,98.01,None
636012,2021091207,2244,35472.0,17,2021-09-12T18:38:59.500,76.0,TEN,left,40.98,21.61,2.01,0.67,0.22,249.0,95.46,None
636013,2021091207,2244,35472.0,18,2021-09-12T18:38:59.600,76.0,TEN,left,41.2,21.6,2.14,0.59,0.23,252.79,93.07,None
636014,2021091207,2244,35472.0,19,2021-09-12T18:38:59.700,76.0,TEN,left,41.44,21.59,2.22,0.5,0.23,254.98,91.42,None
636015,2021091207,2244,35472.0,20,2021-09-12T18:38:59.800,76.0,TEN,left,41.66,21.59,2.22,0.55,0.23,254.41,90.19,None
636016,2021091207,2244,35472.0,21,2021-09-12T18:38:59.900,76.0,TEN,left,41.89,21.59,2.18,0.76,0.22,253.61,89.33,None
